Variable,Missing_Count,Missing_Percentage,count,mean,std,min,25%,median,75%,max
CURRENT_ENERGY_EFFICIENCY,0,0.0,5000.0,72.08,10.5,1.0,66.0,73.0,80.0,118.0
TOTAL_FLOOR_AREA,0,0.0,5000.0,83.97,50.92,12.0,58.0,75.0,97.0,1602.0
MULTI_GLAZE_PROPORTION,0,0.0,5000.0,94.77,19.52,0.0,100.0,100.0,100.0,100.0
NUMBER_HABITABLE_ROOMS,0,0.0,5000.0,3.98,1.7,1.0,3.0,4.0,5.0,45.0
NUMBER_HEATED_ROOMS,0,0.0,5000.0,3.96,1.71,0.0,3.0,4.0,5.0,45.0
LOW_ENERGY_LIGHTING,0,0.0,5000.0,92.74,17.21,0.0,100.0,100.0,100.0,100.0
NUMBER_OPEN_FIREPLACES,0,0.0,5000.0,0.09,0.38,0.0,0.0,0.0,0.0,6.0
FLOOR_HEIGHT,0,0.0,5000.0,2.42,0.22,1.0,2.34,2.4,2.46,4.78
